# Citizen Ledger — cities — COMPLETE LAYER EXPORT
# Source dataset: City annual financial reports, State Controller's Office “By the Numbers” (bythenumbers.sco.ca.gov) — reported actual expenditures and revenues
# Accounting basis: Reported actual revenues and expenditures from standardized annual financial reports filed with the State Controller; governmental activities only — ratepayer-funded enterprise funds, internal service funds and conduit financing are excluded from the function figures
# Gate tier: AS FILED — reconciled to the Controller's published statewide totals where one exists; the function split is the Controller's own
# Units: millions of dollars; population in persons
# Measured as: REPORTED ACTUAL REVENUES AND EXPENDITURES FROM STANDARDIZED ANNUAL FINANCIAL REPORTS FILED WITH THE STATE CONTROLLER · MILLIONS OF DOLLARS · NOMINAL AS PUBLISHED · ALL SHIPPED YEARS · AS FILED
# Data generated: 2026-07-26
# Exported: 2026-07-28
# Absent values: Empty cell = not published by the source. It is NOT zero. A real reported zero is written as 0.
# Licence: CC0 1.0 Universal (public domain). Cite freely; no permission needed.
# Stability: This file's SHAPE is not stable. The Ledger is actively developed: columns may be added, renamed or split as layers change. Pin a copy if you need reproducibility. The DATA is CC0 and that does not change.
# Schema: bulk/SCHEMA.md · Method: about.html · Findings: findings.html
# A $0 in a function column can be a real filed zero — a city that contracts the service to its county files $0. The site's services checklist distinguishes the two; see about.html.
# Function columns: exp_police_musd = Police; exp_fire_musd = Fire; exp_safetyOther_musd = Other public safety; exp_streets_musd = Streets & transportation; exp_housing_musd = Community development & housing; exp_sanitation_musd = Sewer & solid waste; exp_health_musd = Health & welfare; exp_parks_musd = Parks & recreation; exp_library_musd = Libraries; exp_cultureOther_musd = Other culture & leisure; exp_utilities_musd = Public utilities (governmental); exp_admin_musd = General government; exp_other_musd = Other expenditures; exp_debt_musd = Debt service; exp_capital_musd = Capital outlay
# An entity-year absent from this file filed nothing for that year.
slug,name,county,fiscal_year,population,revenues_musd,expenditures_musd,exp_police_musd,exp_fire_musd,exp_safetyOther_musd,exp_streets_musd,exp_housing_musd,exp_sanitation_musd,exp_health_musd,exp_parks_musd,exp_library_musd,exp_cultureOther_musd,exp_utilities_musd,exp_admin_musd,exp_other_musd,exp_debt_musd,exp_capital_musd
adelanto,Adelanto,San Bernardino,2016-17,34273,15.172,16.036,5.637,2.274,0.543,1.584,1.27,0,0,0.253,0,0.147,0,3.42,0,0,0.908
adelanto,Adelanto,San Bernardino,2017-18,35293,18.225,20.532,5.886,4.245,0.681,1.472,1.899,0,0,0.301,0,0.506,0,4.594,0,0,0.948
adelanto,Adelanto,San Bernardino,2018-19,35136,20.232,30.887,6.239,4.511,0.068,3.644,1.884,0,0,0.334,0,4.389,0,5.868,0,0,3.95
adelanto,Adelanto,San Bernardino,2019-20,35663,20.455,26.376,6.875,4.838,0.452,0.499,1.664,0,0,0.232,0,0.353,0,6.926,0,0,4.537
adelanto,Adelanto,San Bernardino,2020-21,36569,22.556,20.581,7.101,5.288,0.269,0.544,1.719,0,0,0.254,0,0.333,0,3.397,0,0,1.676
adelanto,Adelanto,San Bernardino,2021-22,36357,21.461,21.498,7.349,5.579,0.386,0.981,1.661,0,0,0.261,0,0.074,0,3.963,0,0,1.243
adelanto,Adelanto,San Bernardino,2022-23,36656,24.822,23.548,7.647,5.581,0.385,1.103,2.065,0,0,0.292,0,0.095,0,4.545,0,0,1.835
adelanto,Adelanto,San Bernardino,2023-24,36131,24.458,29.02,8.444,5.5,0.578,1.112,3.132,0,0,0.314,0,0.115,0,4.468,0,0,5.358
agoura-hills,Agoura Hills,Los Angeles,2016-17,21018,24.696,34.874,4.376,0,0.083,3.122,2.62,0.073,0.004,1.469,0,0,0,3.807,0,11.763,7.557
agoura-hills,Agoura Hills,Los Angeles,2017-18,20878,23.623,21.252,4.581,0,0.084,3.173,2.741,0.078,0.037,1.503,0,0,0,3.843,0,0.909,4.302
agoura-hills,Agoura Hills,Los Angeles,2018-19,20842,25.875,28.061,4.835,0,0.217,3.911,1.789,0.096,0.016,2.825,0,0,0,4.872,0,0.91,8.589
agoura-hills,Agoura Hills,Los Angeles,2019-20,20566,24.938,25.592,5.062,0,0.264,3.961,2.176,0.11,0,2.546,0,0.009,0,4.455,0,0.914,6.096
