# Citizen Ledger — community college districts — COMPLETE LAYER EXPORT
# Source dataset: California Community Colleges Chancellor's Office — CCFS-311 Annual Financial and Budget Report (Table VI, Current Expense of Education, ECS 84362); SCFF 2022-23 Recalculation Exhibit C; MIS District & College Codes
# Accounting basis: Modified accrual on the community-college Budget and Accounting Manual uniform chart; Current Expense of Education (ECS 84362)
# Gate tier: GATED TO THE DOLLAR against the Chancellor's Office printed statewide total
# Units: dollars; FTES in full-time-equivalent students
# Measured as: MODIFIED ACCRUAL ON THE COMMUNITY-COLLEGE BUDGET AND ACCOUNTING MANUAL UNIFORM CHART · DOLLARS · NOMINAL AS PUBLISHED · ALL SHIPPED YEARS · GATED TO THE DOLLAR AGAINST THE CHANCELLOR'S OFFICE PRINTED STATEWIDE TOTAL
# Data generated: 2026-07-24
# Exported: 2026-07-28
# Absent values: Empty cell = not published by the source. It is NOT zero. A real reported zero is written as 0.
# Licence: CC0 1.0 Universal (public domain). Cite freely; no permission needed.
# Stability: This file's SHAPE is not stable. The Ledger is actively developed: columns may be added, renamed or split as layers change. Pin a copy if you need reproducibility. The DATA is CC0 and that does not change.
# Schema: bulk/SCHEMA.md · Method: about.html · Findings: findings.html
# Apportionment-derived columns (funded_ftes, per_ftes_usd, state_general_fund_usd, community_supported_status) reach only the years with a readable apportionment document, and are empty elsewhere. That is an absence of source, not a zero.
# community_supported_status is three-valued: a status, or 'not-published' where the derivation could not be reconciled.
district_code,name,colleges,fiscal_year,current_expense_usd,instructional_salaries_usd,pct_instructional_salaries,funded_ftes,per_ftes_usd,state_general_fund_usd,rev_federal_usd,rev_state_usd,rev_local_usd,rev_total_usd,community_supported_status
610,ALLAN HANCOCK,Allan Hancock,2009-10,40415734,20255968,50.12,,,,4022047,38401225,16584506,59007778,not-published
610,ALLAN HANCOCK,Allan Hancock,2010-11,40176417,20176702,50.22,,,,3270642,38449831,16054622,57775095,not-published
610,ALLAN HANCOCK,Allan Hancock,2011-12,37371664,18702508,50.04,,,,2818882,35586347,16374962,54780191,not-published
610,ALLAN HANCOCK,Allan Hancock,2012-13,38278386,19249226,50.29,,,,2611203,35300722,18268450,56180375,not-published
610,ALLAN HANCOCK,Allan Hancock,2013-14,39986141,20048360,50.14,,,,2561218,38185220,18071986,58818424,not-published
610,ALLAN HANCOCK,Allan Hancock,2014-15,41925171,21029909,50.16,,,,2792482,42021766,18932902,63747150,not-published
610,ALLAN HANCOCK,Allan Hancock,2015-16,44693764,22450955,50.23,,,,2556723,50977386,21500706,75034815,not-published
610,ALLAN HANCOCK,Allan Hancock,2016-17,47574004,24027363,50.51,,,,2343709,51904110,23168615,77416434,not-published
610,ALLAN HANCOCK,Allan Hancock,2017-18,48852108,24504996,50.16,,,,1946343,54673643,24909110,81529096,not-published
610,ALLAN HANCOCK,Allan Hancock,2018-19,49607796,24823130,50.04,,,30373971,2047544,57994649,25704530,85746723,not-published
610,ALLAN HANCOCK,Allan Hancock,2019-20,50197529,25315105,50.43,8914.38,5631,35265738,,,,,not-published
610,ALLAN HANCOCK,Allan Hancock,2020-21,47186126,23675629,50.17,9084.05,5194,28765162,6771244,58295531,25629021,90695796,state-funded
610,ALLAN HANCOCK,Allan Hancock,2021-22,51790768,26145053,50.48,,,,17208252,63721951,27781936,108712139,not-published
610,ALLAN HANCOCK,Allan Hancock,2022-23,53566952,27433379,51.21,8915.15,6009,43638476,12794608,70128132,30607279,113530019,state-funded
610,ALLAN HANCOCK,Allan Hancock,2023-24,59831958,29959323,50.07,8908.06,6717,38719775,3832869,76293564,31767204,111893637,not-published
620,ANTELOPE VALLEY,Antelope Valley,2009-10,56074157,28911053,51.56,,,,3564996,52921791,10514710,67001497,not-published
620,ANTELOPE VALLEY,Antelope Valley,2010-11,54855513,29880405,54.47,,,,3228363,53361861,11265404,67855628,not-published
620,ANTELOPE VALLEY,Antelope Valley,2011-12,51634231,27482339,53.23,,,,2757343,50658895,8005450,61421688,not-published
620,ANTELOPE VALLEY,Antelope Valley,2012-13,52298585,27114912,51.85,,,,3017902,54225991,10089259,67333152,not-published
620,ANTELOPE VALLEY,Antelope Valley,2013-14,55094790,28320376,51.4,,,,4189803,55117469,10064246,69371518,not-published
620,ANTELOPE VALLEY,Antelope Valley,2014-15,56041839,29201593,52.11,,,,3900583,60259912,10259118,74419613,not-published
620,ANTELOPE VALLEY,Antelope Valley,2015-16,61076609,31755549,51.99,,,,3589795,74490369,11435743,89515907,not-published
620,ANTELOPE VALLEY,Antelope Valley,2016-17,64991788,33094458,50.92,,,,3552114,67101129,11872547,82525790,not-published
620,ANTELOPE VALLEY,Antelope Valley,2017-18,67313153,33729692,50.11,,,,2122632,68485059,12119206,82726897,not-published
620,ANTELOPE VALLEY,Antelope Valley,2018-19,69405087,35272244,50.82,,,47940024,2098514,74149584,12065660,88313758,not-published
620,ANTELOPE VALLEY,Antelope Valley,2019-20,74763658,37708586,50.44,10858.25,6885,62775845,,,,,not-published
620,ANTELOPE VALLEY,Antelope Valley,2020-21,66699582,33352151,50,11066.59,6027,56043506,22295033,85810875,11576420,119682328,state-funded
620,ANTELOPE VALLEY,Antelope Valley,2021-22,66309227,33438676,50.43,,,,32077210,94531137,11941573,138549920,not-published
620,ANTELOPE VALLEY,Antelope Valley,2022-23,73708332,37271307,50.57,11163.82,6602,76073007,21297153,108263817,15587576,145148546,state-funded
620,ANTELOPE VALLEY,Antelope Valley,2023-24,81742456,41643757,50.95,10819.52,7555,70768442,7888839,116333615,18742556,142965010,not-published
910,BARSTOW,Barstow,2009-10,11932347,5965633,50,,,,391077,13337650,3153228,16881955,not-published
910,BARSTOW,Barstow,2010-11,12024154,6081569,50.58,,,,288785,13952328,2967919,17209032,not-published
910,BARSTOW,Barstow,2011-12,11485928,5852123,50.95,,,,405994,13802149,3222382,17430525,not-published
910,BARSTOW,Barstow,2012-13,10962756,5380323,49.08,,,,388158,13332855,3218402,16939415,not-published
910,BARSTOW,Barstow,2013-14,10487985,5393237,51.42,,,,329628,13852278,4363895,18545801,not-published
910,BARSTOW,Barstow,2014-15,11228147,5648995,50.31,,,,311582,14308606,4260729,18880917,not-published
910,BARSTOW,Barstow,2015-16,11537469,6013875,52.12,,,,375547,18953159,4669253,23997959,not-published
910,BARSTOW,Barstow,2016-17,12502003,6318215,50.54,,,,900404,20580572,4627747,26108723,not-published
910,BARSTOW,Barstow,2017-18,13725784,7133370,51.97,,,,106106,20278815,5290261,25675182,not-published
910,BARSTOW,Barstow,2018-19,15741640,7897651,50.17,,,13548992,445843,22836297,5665504,28947644,not-published
910,BARSTOW,Barstow,2019-20,17446352,8815348,50.53,2500.49,6977,17335587,,,,,not-published
910,BARSTOW,Barstow,2020-21,16000709,8098218,50.61,2562.32,6245,16622387,2145641,27146720,6003124,35295485,state-funded
910,BARSTOW,Barstow,2021-22,17685985,8864821,50.12,,,,3069191,28476496,5099584,36645271,not-published
910,BARSTOW,Barstow,2022-23,18922839,9916778,52.41,2633.24,7186,22175147,4098529,34120293,5625044,43843866,state-funded
910,BARSTOW,Barstow,2023-24,20840368,10546374,50.61,2692.27,7741,22341634,457582,37612980,7198113,45268675,not-published
110,BUTTE,Butte,2009-10,49254457,24991372,50.74,,,,5937625,62676000,18577401,87191026,not-published
110,BUTTE,Butte,2010-11,50442263,25911015,51.37,,,,4157085,62209554,19024537,85391176,not-published
110,BUTTE,Butte,2011-12,47831106,25203807,52.69,,,,3664430,57187642,19232607,80084679,not-published
110,BUTTE,Butte,2012-13,46860864,24555626,52.4,,,,3301172,58536009,20963699,82800880,not-published
110,BUTTE,Butte,2013-14,47616534,25582068,53.73,,,,2364659,63117965,23742238,89224862,not-published
110,BUTTE,Butte,2014-15,50193924,26286579,52.37,,,,3074613,75000504,22424747,100499864,not-published
110,BUTTE,Butte,2015-16,51491913,27918532,54.22,,,,1711905,112407355,23850032,137969292,not-published
110,BUTTE,Butte,2016-17,53081503,30149821,56.8,,,,1833083,125225822,26052649,153111554,not-published
110,BUTTE,Butte,2017-18,56119227,30359529,54.1,,,,1815345,126360161,25117485,153292991,not-published
110,BUTTE,Butte,2018-19,58800643,33052025,56.21,,,35791379,1992433,126588780,26601586,155182799,not-published
110,BUTTE,Butte,2019-20,62896774,35499678,56.44,10383.23,6058,43619072,,,,,not-published
110,BUTTE,Butte,2020-21,61168122,33232571,54.33,10383,5891,37140555,8321664,147042589,26202483,181566736,state-funded
110,BUTTE,Butte,2021-22,65257327,34851816,53.41,,,,13660462,155811108,30230861,199702431,not-published
110,BUTTE,Butte,2022-23,70570451,37101448,52.57,10383,6797,55671838,14380180,197856969,32977030,245214179,state-funded
110,BUTTE,Butte,2023-24,80759340,42177874,52.23,10383,7778,50527182,6244364,194580221,32834325,233658910,not-published
