# Citizen Ledger — counties — COMPLETE LAYER EXPORT
# Source dataset: County annual financial reports, State Controller's Office “By the Numbers” (bythenumbers.sco.ca.gov) — reported actual expenditures and revenues
# Accounting basis: Reported actual revenues and expenditures from standardized annual financial reports filed with the State Controller; governmental activities only — ratepayer-funded enterprise funds, internal service funds and conduit financing are excluded from the function figures
# Gate tier: AS FILED — reconciled to the Controller's published statewide totals where one exists; the function split is the Controller's own
# Units: millions of dollars; population in persons
# Data generated: 2026-07-24
# Exported: 2026-07-27
# Absent values: Empty cell = not published by the source. It is NOT zero. A real reported zero is written as 0.
# Licence: CC0 1.0 Universal (public domain). Cite freely; no permission needed.
# Stability: This file's SHAPE is not stable. The Ledger is actively developed: columns may be added, renamed or split as layers change. Pin a copy if you need reproducibility. The DATA is CC0 and that does not change.
# Schema: bulk/SCHEMA.md · Method: about.html · Findings: findings.html
# A county serves the whole county, including residents of every city inside it. County and city figures must not be added.
# Function columns: exp_police_musd = Police protection (sheriff); exp_detention_musd = Detention & correction; exp_judicial_musd = Judicial; exp_fire_musd = Fire protection; exp_protectionOther_musd = Other public protection; exp_streets_musd = Public ways & facilities; exp_health_musd = Health; exp_sanitation_musd = Sanitation; exp_assistance_musd = Public assistance; exp_education_musd = Education; exp_recreation_musd = Recreation & cultural; exp_admin_musd = General government; exp_debt_musd = Debt service; exp_capital_musd = Capital outlay
# An entity-year absent from this file filed nothing for that year.
slug,name,county,fiscal_year,population,revenues_musd,expenditures_musd,exp_police_musd,exp_detention_musd,exp_judicial_musd,exp_fire_musd,exp_protectionOther_musd,exp_streets_musd,exp_health_musd,exp_sanitation_musd,exp_assistance_musd,exp_education_musd,exp_recreation_musd,exp_admin_musd,exp_debt_musd,exp_capital_musd
alameda,Alameda,,2016-17,1645359,2700.524,2588.588,131.274,294.712,220.109,0,51.337,24.527,737.331,0,699.678,28.751,0.654,138.609,156.963,104.644
alameda,Alameda,,2017-18,1660202,2796.407,2684.466,138.201,317.696,222.87,0,56.108,48.9,788.994,0,729.547,29.636,0.714,142.73,157.23,51.84
alameda,Alameda,,2018-19,1669301,3333.075,3052.462,173.093,344.121,235.723,132.562,107.272,55.322,824.064,0,775.35,30.41,0.801,160.932,150.315,62.497
alameda,Alameda,,2019-20,1670834,3463.034,3283.119,190.455,351.57,231.013,134.821,131.854,65.487,943.87,0,853.127,33.933,0.77,175.864,144.778,25.577
alameda,Alameda,,2020-21,1662370,3962.049,4493.13,993.479,385.836,231.053,141.789,124.267,70.518,1119.367,0,1021.609,36.851,0.74,195.503,148.335,23.781
alameda,Alameda,,2021-22,1651979,3849.99,3698.515,143.75,419.816,245.632,151.1,115.394,44.327,1107.646,0,1029.292,38.152,0.935,218.968,110.586,72.919
alameda,Alameda,,2022-23,1636194,4099.521,3701.213,135.755,433.902,253.504,155.691,109.493,38.765,1100.495,0,1044.986,39.065,1.307,182.061,109.075,97.114
alameda,Alameda,,2023-24,1641869,4383.599,3842.831,147.36,456.702,270.404,168.217,117.762,40.106,1163.919,0,999.595,40.036,1.061,200.284,126.971,110.415
alpine,Alpine,,2016-17,1151,18.936,16.806,3.005,0.328,0.501,0.44,0.563,1.346,2.878,0.079,1.715,0.53,0.038,4.534,0.112,0.735
alpine,Alpine,,2017-18,1154,20.47,18.038,3.043,0.399,0.501,0.53,0.601,1.377,3.171,0.076,1.632,0.504,0.041,4.637,0.112,1.414
