# Citizen Ledger — special districts — COMPLETE LAYER EXPORT
# Source dataset: California State Controller — special districts financial transactions reports, as filed
# Accounting basis: Reported as filed with the State Controller, by fund class
# Gate tier: AS FILED — UNRECONCILED. Three of the four fund-class buckets have no published total to check against: for enterprise, internal-service and conduit funds the Controller publishes operating and nonoperating components and never their sum. A control exists for the governmental bucket only. No figure in this file has been verified against an independently published total
# Units: as-filed dollars
# Measured as: REPORTED AS FILED WITH THE STATE CONTROLLER, BY FUND CLASS · AS-FILED DOLLARS · NOMINAL AS PUBLISHED · ALL SHIPPED YEARS · AS FILED
# Data generated: 2026-07-26
# Exported: 2026-07-28
# Absent values: Empty cell = not published by the source. It is NOT zero. A real reported zero is written as 0.
# Licence: CC0 1.0 Universal (public domain). Cite freely; no permission needed.
# Stability: This file's SHAPE is not stable. The Ledger is actively developed: columns may be added, renamed or split as layers change. Pin a copy if you need reproducibility. The DATA is CC0 and that does not change.
# Schema: bulk/SCHEMA.md · Method: about.html · Findings: findings.html
# Fund-class columns: gov = governmental funds; ent = enterprise funds; isf = internal service funds; cf = conduit financing
# filing_status is the Controller's own per-year code for that district; '-' means no filing is recorded for that year.
# An entity-year with no filing at all is omitted rather than written as zero.
slug,name,county,activity,district_type,fiscal_year,filing_status,exp_gov_usd,exp_ent_usd,exp_isf_usd,exp_cf_usd,rev_gov_usd,rev_ent_usd,rev_isf_usd,rev_cf_usd
4-e-water-district,4-E Water District,Glenn,California Water,Independent,2016-17,F,0,179,0,0,0,225,0,0
4-e-water-district,4-E Water District,Glenn,California Water,Independent,2017-18,F,0,212,0,0,0,240,0,0
4-e-water-district,4-E Water District,Glenn,California Water,Independent,2018-19,F,0,165,0,0,,,,
4-e-water-district,4-E Water District,Glenn,California Water,Independent,2019-20,F,0,21,0,0,,,,
4-m-water-district,4-M Water District,Colusa,California Water,Independent,2016-17,F,0,63098,0,0,0,127079,0,0
4-m-water-district,4-M Water District,Colusa,California Water,Independent,2017-18,F,0,161737,0,0,0,177707,0,0
4-m-water-district,4-M Water District,Colusa,California Water,Independent,2018-19,F,0,150473,0,0,0,135593,0,0
4-m-water-district,4-M Water District,Colusa,California Water,Independent,2019-20,F,0,169490,0,0,0,246036,0,0
4-m-water-district,4-M Water District,Colusa,California Water,Independent,2020-21,F,0,329271,0,0,0,379295,0,0
4-m-water-district,4-M Water District,Colusa,California Water,Independent,2021-22,F,0,402590,0,0,0,332220,0,0
4-m-water-district,4-M Water District,Colusa,California Water,Independent,2022-23,F,0,175772,0,0,0,339895,0,0
4-m-water-district,4-M Water District,Colusa,California Water,Independent,2023-24,F,0,208923,0,0,0,80521,0,0
49-99-cooperative-library-system,49-99 Cooperative Library System,San Joaquin,Joint Powers Authority (JPA),Joint Powers Authority (JPA),2016-17,F,64125,0,0,0,93127,0,0,0
