# Citizen Ledger — UC campuses — COMPLETE LAYER EXPORT
# Source dataset: University of California Annual Financial Report (audited by PricewaterhouseCoopers LLP; the per-campus Campus Financial Facts table is the report's own auditor-read front matter) and the UCOP actual-FTE series
# Accounting basis: Audited GAAP / GASB full accrual, with medical centres, auxiliaries and the Department of Energy laboratory separated on UC's own published lines
# Gate tier: GATED TO THE THOUSAND against UC's audited statement total
# Units: thousands of dollars
# Data generated: 2026-07-23
# Exported: 2026-07-27
# Absent values: Empty cell = not published by the source. It is NOT zero. A real reported zero is written as 0.
# Licence: CC0 1.0 Universal (public domain). Cite freely; no permission needed.
# Stability: This file's SHAPE is not stable. The Ledger is actively developed: columns may be added, renamed or split as layers change. Pin a copy if you need reproducibility. The DATA is CC0 and that does not change.
# Schema: bulk/SCHEMA.md · Method: about.html · Findings: findings.html
# Held years (published as a labelled absence, not at a lower standard): 2019-20. A held year's rows are absent from this file rather than present with zeros.
# education_core_kusd is the teaching-and-research remainder after the strip. The strip is UC's own functional lines; nothing is deleted.
# Function columns are UC's published functional classification, prefixed fn_.
campus,fiscal_year,total_kusd,medical_centers_kusd,auxiliaries_kusd,education_core_kusd,fn_instruction_kusd,fn_research_kusd,fn_public_service_kusd,fn_academic_support_kusd,fn_student_services_kusd,fn_institutional_support_kusd,fn_operation_and_maintenance_of_plant_kusd,fn_student_financial_aid_kusd,fn_auxiliary_enterprises_kusd,fn_depreciation_and_amortization_kusd,fn_impairment_of_capital_assets_kusd,fn_other_kusd,fn_medical_centers_kusd,fn_other_and_impairment_of_capital_assets_kusd
Berkeley,2020-21,2851419,0,120676,2730743,881600,580531,61982,122925,264698,276712,97904,184199,120676,241115,2070,17007,,
Berkeley,2021-22,3125854,0,164631,2961223,924639,646000,70577,135289,280687,365730,92124,162790,164631,255798,,27589,,
Berkeley,2022-23,3410050,0,175554,3234496,987126,718569,94739,138455,347974,391141,126593,142915,175554,278122,,8862,,
Berkeley,2023-24,3805013,0,184076,3620937,1093098,777769,114339,148916,369224,464603,153841,209929,184076,271876,,17342,,
Berkeley,2024-25,4039495,0,213046,3826449,1143942,835813,120049,155467,391408,501969,144621,226981,213046,298947,,7252,,
Davis,2020-21,5482683,2602599,86757,2793327,962647,593718,99449,288812,152554,190912,106824,130638,86757,265802,1621,350,2602599,
Davis,2021-22,6218876,2969548,122295,3127033,1196597,639487,108567,240531,169370,235364,84041,150553,122295,297900,,4623,2969548,
Davis,2022-23,6850007,3464502,146191,3239314,1272755,657717,123302,240312,205406,154283,135460,99905,146191,345864,,4310,3464502,
Davis,2023-24,7471310,2802908,90463,4577939,1328614,925960,180502,325491,212461,53888,794960,127147,90463,590570,,38346,2802908,
Davis,2024-25,7850509,3614812,130519,4105178,1496638,794041,199920,368069,262521,263152,132444,163696,130519,418258,,6439,3614812,
Irvine,2020-21,3689558,1400803,130015,2158740,906161,301817,12834,282275,102027,75962,86951,143108,130015,235499,1022,11084,1400803,
Irvine,2021-22,4093103,1603055,142074,2347974,964937,324264,12288,311541,113927,79327,73315,164070,142074,259550,,44755,1603055,
Irvine,2022-23,4422658,1758076,153378,2511204,1066296,362863,13803,338520,124776,102974,77343,121253,153378,266154,,37222,1758076,
Irvine,2023-24,5191035,2273143,152965,2764927,1169259,416202,17541,370362,137363,134722,85528,99337,152965,316521,,18092,2273143,
Irvine,2024-25,6707400,3461964,191529,3053907,1311483,415052,17017,421231,147757,139662,91336,135276,191529,371361,,3732,3461964,
Los Angeles,2020-21,9020770,2711768,305473,6003529,2784155,940581,184725,987438,163765,211694,107723,182488,305473,415533,2716,22711,2711768,
Los Angeles,2021-22,10157766,3081637,346488,6729641,2948691,1028112,230148,1116275,198918,313079,169460,207685,346488,493813,,23460,3081637,
Los Angeles,2022-23,10908829,3129355,468550,7310924,3337430,1035976,233720,1263083,209889,324962,133590,151270,468550,548813,,72191,3129355,
Los Angeles,2023-24,12140812,3534859,497780,8108173,3718678,1191241,265002,1399101,242811,387791,144864,178467,497780,574600,,5618,3534859,
Los Angeles,2024-25,13381520,3867029,562601,8951890,3965187,1233915,274991,1729590,264500,466915,165354,185365,562601,585389,,80684,3867029,
Merced,2020-21,432571,0,20960,411611,88174,34992,7504,29086,29379,75638,29001,36670,20960,81167,,,,
Merced,2021-22,466570,0,30203,436367,96358,32432,7811,33942,33451,89753,30836,26299,30203,85485,,,,
