# Citizen Ledger — cities
# Source dataset: City annual financial reports, State Controller's Office “By the Numbers” (bythenumbers.sco.ca.gov) — reported actual expenditures and revenues
# Accounting basis: reported actual revenues and expenditures from standardized city annual financial reports
# Scope: governmental activities by function; ratepayer-funded enterprise funds, internal service funds, and conduit financing are excluded from function figures
# Data generated: 2026-07-14 · exported: 2026-07-17
# Permalink: https://citizen-ledger.github.io/ca-ledger/cities.html#c=los-angeles
# City: Los Angeles (Los Angeles County) · FY 2023-24 · population 3814318
# Units: millions of dollars; Per resident in dollars; Share in percent
Function,Governmental expenditures ($M),Per resident ($),Share (%)
Police,3260.6,855,27.1
Fire,846.8,222,7.0
Other public safety,693.9,182,5.8
Streets & transportation,1194.7,313,9.9
Community development & housing,2271.2,595,18.9
Sewer & solid waste,786.4,206,6.5
Health & welfare,14.1,4,0.1
Parks & recreation,552.4,145,4.6
Libraries,261.1,68,2.2
Other culture & leisure,46.2,12,0.4
Public utilities (governmental),0.0,0,0.0
General government,765.1,201,6.4
Other expenditures,0.0,0,0.0
Debt service,709.4,186,5.9
Capital outlay,619.5,162,5.2
All governmental functions,12021.5,3152,100.0
Enterprise activities (excluded from above),9496.0,2490,
