# Citizen Ledger — cities
# Source dataset: County annual financial reports, State Controller's Office “By the Numbers” (bythenumbers.sco.ca.gov) — reported actual expenditures and revenues
# Accounting basis: reported actual revenues and expenditures from standardized city annual financial reports
# Scope: governmental activities by function; ratepayer-funded enterprise funds, internal service funds, and conduit financing are excluded from function figures
# Data generated: 2026-07-14 · exported: 2026-07-17
# Permalink: https://citizen-ledger.github.io/ca-ledger/cities.html#l=county&c=santa-clara
# County: Santa Clara County · FY 2023-24 · population 1903198
# Units: millions of dollars; Per resident in dollars; Share in percent
Function,Governmental expenditures ($M),Per resident ($),Share (%)
Police protection (sheriff),216.8,114,4.1
Detention & correction,528.3,278,10.0
Judicial,376.5,198,7.1
Fire protection,165.3,87,3.1
Other public protection,47.9,25,0.9
Public ways & facilities,59.2,31,1.1
Health,1124.5,591,21.2
Sanitation,0.2,0,0.0
Public assistance,1422.6,747,26.8
Education,67.0,35,1.3
Recreation & cultural,63.3,33,1.2
General government,327.7,172,6.2
Debt service,298.3,157,5.6
Capital outlay,605.6,318,11.4
All governmental functions,5303.4,2787,100.0
Enterprise activities (excluded from above),4750.2,2496,
# Note: "9% of Santa Clara County's residents live in unincorporated areas the county serves directly as the local government — per-resident differences partly reflect this responsibility share, not spending choices."
